subnum,abacus,pg1_1,pg1_2,pg1_3,pg1_4,pg1_5,pg1_6,pg1_7,pg1_8,pg1_9,pg1_10,pg1_11,pg1_12,pg1_13,pg1_14,pg1_15,pg1_16,pg2_1,pg2_2,pg2_3,pg2_4,pg2_5,pg2_6,pg2_7,pg2_8,pg2_9,pg2_10,pg2_11,pg2_12,pg2_13,pg2_14,pg2_15,pg2_16,pg3_1,pg3_2,pg3_3,pg3_4,pg3_5,pg3_6,pg3_7,pg3_8,pg3_9,pg3_10,pg3_11,pg3_12,pg3_13,pg3_14,pg3_15,pg3_16
173,1,8,9,15,17,42,87,60,73,7,4,9,8,45,23,46,26,10,48,63,412,3,,,,121,142,430,944,1449,1332,9372,19030,79,,,,,,,,,,,,,,,
174,0,8,9,15,17,42,87,60,73,7,4,9,8,45,23,53,26,10,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,0,8,9,15,17,42,87,60,73,7,4,9,8,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,0,8,9,15,17,42,87,60,73,7,4,9,8,45,23,46,26,10,48,63,52,0,0,0,0,121,112,430,944,1449,1432,151372,0,,,,,,,,,,,,,,,,
178,1,8,9,15,17,42,87,60,72,7,4,8,8,45,23,45,26,10,48,63,52,3,7,21,18,121,142,430,944,1449,1332,9372,18930,,,,,,,,,,,,,,,,
179,1,8,9,15,77,42,87,60,73,7,4,9,8,45,22,46,26,10,48,63,52,2,7,22,18,121,142,430,958,1850,1333,9372,18930,83,153,327,,,,,,,,,,,,,
180,1,8,9,15,17,43,87,60,78,7,4,9,8,41,22,45,34,10,48,76,412,3,6,22,17,122,152,430,950,1450,1230,9321,16488,84,152,361,147,406,850,3548,5430,110,130,318,155,7,4,38,
181,1,8,9,15,17,32,87,60,72,7,4,9,8,45,63,57,23,10,48,63,52,3,6,142,,,,,,,,,,,,,,,,,,,,,,,,,
182,0,8,9,15,17,29,87,60,73,7,4,9,8,45,23,46,26,10,153,327,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,1,8,9,15,17,42,87,60,63,7,4,9,8,45,23,46,26,10,42,63,52,3,7,22,18,121,142,436,944,1449,1332,9372,18930,84,153,327,148,406,778,,,,,,,,,,
184,1,8,9,15,17,42,87,60,73,7,4,9,8,45,23,45,26,10,48,56,52,3,7,22,17,121,142,430,,,,,,,,,,,,,,,,,,,,,
185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,1,8,9,15,17,43,87,60,73,7,4,9,8,45,23,22,34,10,48,63,52,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,
187,1,8,9,15,17,42,87,60,73,7,4,9,8,45,23,46,36,10,48,63,52,3,,,,120,152,481,711,1452,1345,5691,8983,84,153,327,148,406,6120,,,110,13,,,,,,
188,0,8,9,15,29,42,87,60,73,7,4,9,8,45,23,54,34,10,45,63,52,3,8,22,18,171,142,,,,,,,,,,,,,,,,,,,,,,
189,0,8,9,15,17,42,87,60,73,7,4,9,8,45,23,46,26,10,48,63,52,3,8,22,18,121,142,530,,,,,,,,,,,,,,,,,,,,,
190,1,8,9,15,17,42,87,60,83,7,4,9,8,45,23,46,26,10,48,63,52,3,7,22,117,122,142,430,944,1349,1282,9372,18930,,,,,,,,,,,,,,,,
191,0,8,9,15,17,42,87,60,73,7,4,27,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,0,8,9,15,17,42,87,60,73,7,4,9,8,45,23,46,26,10,48,63,52,3,7,22,31,121,142,430,944,,,,,,,,,,,,,,,,,,,,
193,1,8,9,15,17,42,87,50,73,7,4,9,8,45,23,46,26,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,1,8,9,15,17,42,87,60,68,7,4,9,8,45,13,46,26,10,48,63,52,27,7,2,2,121,136,335,454,1241,1332,,,,,,,,,,,,,,,,,,
195,1,7,9,15,17,42,87,60,73,7,4,9,8,45,23,46,26,10,48,63,52,3,7,22,18,121,142,399,944,1449,1332,9372,18930,84,52,152,48,406,,,,,,,,,,,
196,0,8,9,15,17,42,87,60,73,7,4,9,8,45,23,46,26,10,48,63,52,3,7,22,18,121,142,430,,,,,,,,,,,,,,,,,,,,,
197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,0,8,9,15,17,42,87,60,73,7,4,8,8,45,23,43,24,10,42,63,52,3,7,22,91,,121,21,61,3014,2015,44,624,,,,,,,,,,,,,,,,
199,0,8,9,15,17,42,87,60,73,7,4,624,8,45,23,54,34,10,53,63,52,18,68,84,43,121,142,430,944,1449,1332,,,,,,,,,,,,,,,,,,
200,1,8,9,15,16,42,87,60,91,6,4,9,9,45,51,46,26,10,48,63,145,2,511,56,271,121,221,585,781,711,211,121,1122,,,,,,,,,,,,,,,,
201,0,8,9,15,17,43,87,60,73,7,4,9,8,45,23,46,26,10,48,63,52,3,7,22,18,121,142,430,944,211,121,121,,,,,,,,,,,,,,,,,
202,1,8,9,15,17,42,87,60,70,7,4,10,8,45,23,45,24,10,48,73,124,3,12,11,10,122,142,440,745,1349,1355,9072,18920,134,153,626,525,1006,1387,12328,16620,110,130,318,635,,,,
203,1,8,9,15,17,42,87,60,73,7,4,9,8,45,23,46,36,10,48,63,52,3,7,22,17,124,132,340,893,1249,1322,7920,8880,98,154,2227,109,407,892,1230,32859,280,143,318,,,,,
204,1,8,9,15,17,42,87,60,73,7,4,9,8,45,23,46,26,10,48,63,123,3,8,22,3,,,,,,,,,,,,,,,,,,,,,,,,
205,1,8,9,15,17,42,87,60,73,7,4,3,8,45,20,100,78,10,48,63,56,3,7,22,14,14,144,440,944,245,1322,1392,9542,78,154,213,215,1810,3766,4993,,,,,,,,,
206,1,8,9,15,17,42,77,60,11,7,4,3,5,15,23,53,34,10,38,63,82,12,64,92,57,121,142,430,944,1449,1332,9372,14772,,,,,,,,,,,,,,,,
207,1,8,9,15,17,42,87,60,73,7,4,9,8,45,23,46,26,10,48,63,52,3,7,42,15,121,142,420,954,1449,1381,9328,18930,84,153,327,148,381,778,3161,4809,180,133,468,819,312,408,35,21
208,0,8,9,15,16,42,87,510,89,7,4,9,8,45,63,64,96,10,48,,,4,,,,121,142,430,944,1449,1332,,,,,,,,,,20000,,,,,,,,
209,1,8,9,15,17,42,87,60,73,7,4,9,8,45,23,46,26,10,48,63,,3,,,,121,132,4,944,1109,,,,,,,,,,,,,,,,,,,
210,0,8,9,15,17,42,87,51,73,7,4,9,8,45,23,54,34,10,48,,52,6,4,8,48,121,182,230,,,,,,,,,,,,,,,,,,,,,
211,0,8,9,15,17,42,87,61,73,7,4,9,8,40,23,46,26,10,48,63,52,3,7,22,,,,,,,,,,,,,,,,,,,,,,,,,
212,0,8,9,15,17,42,87,60,73,7,4,9,8,45,23,46,26,10,48,63,52,3,,,,121,142,430,944,1449,1332,9372,18930,84,,,,,,,,,,,,,,,
213,0,8,9,17,18,42,87,60,65,7,3,9,10,11,15,16,17,15,48,63,48,4,5,6,7,8,11,113,114,115,116,117,118,122,123,124,125,126,127,128,128,52,11,32,24,52,69,72,81
214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,0,8,9,15,17,42,80,60,73,7,4,12,9,55,33,67,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
